restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
The Fresh Wok,"Takeaway, Delivery",Asian,3.3,600.0
The Frozen House,Dessert Parlor,"Desserts, Fast Food",2.8,300.0
The Ganache Factory,Delivery,"Desserts, Bakery",4.2,400.0
The Globe Grub,Casual Dining,"Continental, North Indian, Asian, Italian",4.4,1300.0
The Gluten Free Baking Co.,Bakery,Bakery,3.8,400.0
The Golden Metro,Casual Dining,"North Indian, Mughlai, Chinese, Continental",3.6,800.0
The Golden Spoon Restaurant Meat & Wine,Casual Dining,"Chinese, North Indian",3.5,1000.0
The Good Bowl,"Takeaway, Delivery","Italian, North Indian, Biryani",2.8,500.0
The Good Grain,Casual Dining,"Healthy Food, North Indian, South Indian",4.1,400.0
The Grains,Quick Bites,"South Indian, North Indian, Chinese",2.8,300.0
The Grand Kitchen Restaurant,Quick Bites,"North Indian, Chinese",2.8,400.0
The Grand Taj,Quick Bites,"North Indian, Chinese",3.2,350.0
The Green House Family Restaurant,"Casual Dining, Bar","North Indian, Chinese, Seafood, Biryani",3.2,700.0
The Green Path - Forgotten Food,Casual Dining,"North Indian, South Indian",4.3,1100.0
The Grill House,Casual Dining,"American, Mexican, Italian, Steak",4.0,1000.0
The Grilled & Fried,Quick Bites,Fast Food,2.8,300.0
The Grillo,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8,500.0
The Grub Central,Cafe,"Cafe, Italian, Continental",4.0,700.0
The Gujarat Express,"Quick Bites, Sweet Shop","Street Food, Mithai, North Indian",3.1,250.0
The Happy Vegetarian,Casual Dining,"North Indian, Chinese, South Indian",2.8,600.0
The Hidden Cafe,Quick Bites,"North Indian, Fast Food",3.9,350.0
The Hidden Home,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian",4.2,1300.0
The Higher Taste,Casual Dining,"Pizza, Biryani, North Indian, South Indian",4.3,800.0
The Higher Taste Stores,"Quick Bites, Bakery","Fast Food, Bakery",3.8,300.0
The Himalayan,Casual Dining,Korean,4.4,1200.0
The Hole in the Wall Cafe,Cafe,"Cafe, American, Burger",4.6,600.0
The Hot Cafe,Quick Bites,Fast Food,3.2,300.0
The House Of Paratha,Quick Bites,North Indian,3.7,200.0
The Hub - Ibis Hotel,Bar,"Finger Food, Fast Food, Continental",3.5,2200.0
The Hub & The Bar - Hotel Ramada Encore,"Casual Dining, Bar","North Indian, Continental, Chinese, European",3.9,1700.0
The Humble Pie,"Bakery, Dessert Parlor","Desserts, Bakery",3.9,200.0
The Humming Tree,Lounge,"Fast Food, European",4.0,1400.0
The Hundred Food Journey,Casual Dining,"Continental, Italian",3.8,1100.0
The Hunger Room,Quick Bites,"Continental, Sandwich, Burger, Italian, Salad, Pizza",3.9,400.0
The Hungers Zone,Quick Bites,"Fast Food, Italian, Pizza",3.7,300.0
The Hungry,Quick Bites,"Fast Food, Chinese",3.6,400.0
The Hungry Shark Cafe,Cafe,"Cafe, Continental, Beverages",3.9,700.0
The Hungry Yeti,Casual Dining,"Tibetan, Nepalese",4.0,700.0
The Hyderabad Chefs,"Takeaway, Delivery","North Indian, Hyderabadi, Andhra, Chinese",2.8,600.0
The Hyderbadi Chefs,Quick Bites,"South Indian, North Indian, Chinese",3.4,400.0
The Irish House,"Casual Dining, Pub","European, American",4.2,1700.0
The IT Crowd,Quick Bites,"North Indian, Burger, Sandwich, Chinese",2.8,400.0
The J,Quick Bites,"Fast Food, Beverages",4.0,450.0
The Jade Kitchen,Casual Dining,"Chinese, Thai",3.9,600.0
The Juice Shop,Quick Bites,"Juices, North Indian",2.8,200.0
The Juice Shop - Juicery And Kitchen,Quick Bites,"Beverages, Fast Food, Bakery",3.9,300.0
The Juicy,Beverage Shop,"Beverages, Juices",3.5,100.0
The Jungle Terrace,Casual Dining,"Continental, Mexican, Lebanese",3.5,600.0
The Kabab Studio - Goldfinch Hotel,Casual Dining,"North Indian, Chinese, Continental",4.2,1500.0
The Kebab House,Quick Bites,"Kebab, Biryani",4.2,250.0
The Kebab Room - Restaurant & Brewery,"Casual Dining, Microbrewery","Mughlai, North Indian",4.0,1000.0
The Kick-Ass Company Pub & Diner,Pub,Finger Food,3.7,800.0
The Kim Chi Chef,Casual Dining,"Chinese, Thai, Momos",4.0,900.0
The Kimchi Chef,Casual Dining,"Thai, Chinese",3.4,500.0
The Kitchen,Casual Dining,"Andhra, Biryani, Mughlai",2.8,800.0
The Kitchen Bandit,Delivery,"Chinese, North Indian, Fast Food",3.2,350.0
The Kitchen Chef,Delivery,"Fast Food, North Indian, Chinese",2.9,500.0
The Kitchen Story,Delivery,"North Indian, Chinese",3.2,300.0
The Konkan - Seafood Restaurant,Casual Dining,"Seafood, Konkan, Mangalorean",4.4,850.0
The Kream Story,"Dessert Parlor, Quick Bites","Desserts, Fast Food",4.1,500.0
The Krishna Grand,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750.0
The Krishna Grand Xpress,Quick Bites,"South Indian, Fast Food",4.0,350.0
The Lakefront Kitchen,Casual Dining,"North Indian, Chinese, Mughlai",3.7,600.0
The LaLiT Boulangerie - The LaLiT Ashok Bangalore,"Bakery, Dessert Parlor","Bakery, Desserts",3.2,600.0
The Lantern Restaurant & Bar - The Ritz-Carlton...,"Fine Dining, Bar",Chinese,4.3,3500.0
The Lassi and Juice Park,"Beverage Shop, Dessert Parlor","Juices, Desserts",3.8,150.0
The Lassi Bar,Beverage Shop,"Beverages, Juices",3.7,300.0
The Lassi Park,Beverage Shop,"Juices, Desserts",3.8,200.0
The Leela Cake Shop - The Leela Palace,Dessert Parlor,"Desserts, Bakery",3.9,1200.0
The Lemon Grass Kitchen,Quick Bites,"Chinese, Thai",3.3,300.0
The Light House Restaurant,Casual Dining,"North Indian, Chinese, Seafood",4.2,500.0
The Lighthouse Cafe,Casual Dining,"American, Italian",3.6,650.0
The Litti Company,"Takeaway, Delivery",Bihari,3.5,400.0
The Little Chef,Casual Dining,"North Indian, Chinese",3.5,600.0
The Little Kitchen,Quick Bites,"Chinese, North Indian",3.3,300.0
The Lobby Brew - Conrad Bengaluru,Cafe,"Cafe, North Indian, Fast Food",3.8,2200.0
The Lobby Lounge - Shangri-La Hotel,Cafe,Cafe,3.8,2000.0
The Lobby Lounge - The Ritz-Carlton,Casual Dining,Beverages,4.1,2000.0
The Local,"Pub, Casual Dining","Finger Food, Continental, Italian, Salad",4.2,1400.0
The Local - Burger Bar,"Pub, Casual Dining","American, Pizza, Burger",3.8,1500.0
The Local - Terrace Drinkery,"Pub, Casual Dining","Continental, American, Pizza, BBQ",4.0,1000.0
The London Curry House - The Royale Senate Hotel,"Casual Dining, Bar","Pizza, North Indian, Modern Indian",4.5,1300.0
The London Shakes,Beverage Shop,"Beverages, Fast Food",2.8,400.0
The Lounge - Eden Park Restaurants,Lounge,"North Indian, Afghani",3.7,1350.0
The Lounge - The Chancery Pavilion,Casual Dining,"Chinese, North Indian, South Indian",3.7,2000.0
The Lovin' Oven Cakery,Bakery,"Bakery, Desserts",3.5,500.0
The Mad Teapot,Cafe,Cafe,4.1,850.0
The Magic Chef,Quick Bites,"North Indian, Chinese",3.7,300.0
The Mangalorean,Casual Dining,"Konkan, Mangalorean, Seafood",4.1,550.0
The Maori - Aurick Boutique Hotel,Casual Dining,"Chinese, North Indian",3.5,1000.0
The Marash,Dessert Parlor,"Turkish, Desserts",4.3,250.0
The Marina,Casual Dining,"Seafood, Continental, North Indian, South Indian",4.4,1200.0
The Market - The Ritz-Carlton,Fine Dining,"North Indian, European, Thai",4.3,3400.0
The Meal Story,Casual Dining,"North Indian, Street Food",4.1,700.0
The Midnight Kitchen,Delivery,"Continental, Chinese",3.8,250.0
The Milkshake Co and More,"Takeaway, Delivery","Beverages, Desserts, Fast Food",2.8,250.0
The Milkshake Theory,Beverage Shop,"Beverages, Fast Food",2.8,400.0
The Mint Resto Bar,"Casual Dining, Bar","North Indian, Chinese, Andhra",2.6,1000.0
The Mirchi,"Takeaway, Delivery","Chinese, North Indian, Bengali",3.3,400.0
The Modak,Quick Bites,"North Indian, Street Food, Desserts, Chinese",3.6,400.0
The Momo Farm,Quick Bites,"Chinese, Tibetan",3.7,300.0
The Monalisa Restaurant,Quick Bites,Chinese,3.3,300.0
The Mughal's,Quick Bites,"Mughlai, North Indian, Chinese",3.7,400.0
The Munch Box,Quick Bites,"American, Chinese",2.8,300.0
The Mylapore Cafe,Quick Bites,South Indian,3.7,150.0
The Nest - The Den Bengaluru,"Bar, Casual Dining","Finger Food, North Indian, Continental",3.4,1500.0
The Night King,"Takeaway, Delivery","North Indian, Chinese",3.3,400.0
The Night Watch Express,"Takeaway, Delivery","North Indian, Chinese",3.0,500.0
The North and South Restaurant,"Takeaway, Delivery","North Indian, Chinese, South Indian",3.2,400.0
The Nosh House,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",4.3,600.0
The Ocean Kitchen,Quick Bites,"North Indian, Chinese, Seafood, South Indian",2.8,200.0
The Old Fashioned Bar,Bar,"Finger Food, North Indian, Continental",4.5,1000.0
The Only Place,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad",4.2,1000.0
The Onyx - The HHI Select Bengaluru,Casual Dining,"North Indian, Chinese, Continental",3.3,950.0
The Open Box,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad",4.2,1400.0
The Open Cafe,Cafe,"Cafe, Chinese, Continental",3.7,500.0
The Orchard,Casual Dining,North Indian,4.0,900.0
The Orchid,Casual Dining,"North Indian, Continental",3.7,1400.0
The Oriental Spice - Ashraya Hotel,Casual Dining,"Chinese, Thai, Indonesian",3.8,1300.0
The Original Bistro,Casual Dining,"Italian, Beverages",4.1,600.0
The Pakoda Shop,Delivery,Street Food,3.4,150.0
The Pallavas ( Authentic Taste Of Southern Cuisine ),Quick Bites,South Indian,3.7,400.0
The Pallet,"Microbrewery, Pub","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos",4.5,1600.0
The Pancake Story,Dessert Parlor,"Desserts, Beverages",4.6,300.0
The Paramount Hotel,Casual Dining,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",2.9,1000.0
The Paratha Company,Delivery,North Indian,4.2,400.0
The Paratha Stories,Delivery,North Indian,3.3,400.0
The Paratha Studio,Quick Bites,North Indian,2.8,200.0
The Park East 01,Casual Dining,"North Indian, Chinese",3.8,750.0
The Park Inn Restaurant,Quick Bites,"North Indian, Chinese",3.0,450.0
The Parotta Master,Delivery,South Indian,2.9,400.0
The Parrot House,Quick Bites,"North Indian, Sandwich, Beverages",2.8,200.0
The Pastry House,Bakery,"Bakery, Desserts",3.8,400.0
The Pastry Inn,Bakery,Bakery,3.5,300.0
The Pavillion,Casual Dining,"North Indian, Continental, South Indian, Chinese",2.7,1000.0
The Perfect Stop,Quick Bites,"Italian, Fast Food, Pizza",3.5,300.0
The Permit Room,"Casual Dining, Bar",South Indian,4.5,1500.0
The Persian Terrace - Sheraton Grand Bangalore Hotel...,Fine Dining,"Lebanese, Mediterranean, Afghan",4.2,2500.0
The Pipe Rack,Casual Dining,Cafe,3.7,700.0
The Pizza Bakery,Casual Dining,"Italian, Pizza, Beverages",4.8,1200.0
The Pizzeria,Casual Dining,"Pizza, Italian, Salad",2.8,800.0
The Platonic Cafe,Cafe,"Cafe, Beverages",2.8,500.0
The Podium Sports Bar,Bar,Finger Food,3.8,1200.0
The Pump House,Microbrewery,"Continental, Finger Food",4.3,1500.0
The Punjabi,Casual Dining,"North Indian, Mughlai, Biryani, Chinese",2.9,550.0
The Punjabi Bites,Quick Bites,North Indian,3.9,150.0
The Punjabi Park,Casual Dining,North Indian,3.5,500.0
The Punjabi Rasoi,Casual Dining,North Indian,2.8,800.0
The Purple Pan,Casual Dining,"North Indian, Chinese",4.1,600.0
The Raj Pavilion - ITC Windsor,Fine Dining,"North Indian, Continental, Asian",4.2,2400.0
The Rasaganga,Casual Dining,"South Indian, North Indian, Chinese, Street Food",3.6,500.0
The Rasoi,Casual Dining,"North Indian, Chinese, Hyderabadi",3.7,650.0
The Rasoiya Street,Casual Dining,"North Indian, Continental, Mediterranean, Chinese",4.1,800.0
The Red Lantern,Casual Dining,"Chinese, Momos",3.7,800.0
The Red Tandoor,Quick Bites,"Chinese, North Indian",3.2,400.0
The Rendezvous,Casual Dining,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",3.7,800.0
The Rennan's Cafe,Quick Bites,"Chinese, Fast Food, Momos",2.9,250.0
The Reservoire,"Bar, Casual Dining","Continental, North Indian, Chinese, American, Pizza, Finger Food",4.5,1300.0
The Restaurant,Casual Dining,"Continental, Chinese, North Indian",3.7,1200.0
The Restaurant - Coorg,Casual Dining,South Indian,4.3,1100.0
The Retro,Quick Bites,"Chinese, Burger",3.2,300.0
The Rice Bowl,"Casual Dining, Bar","Chinese, Momos",4.3,1300.0
The Rice Company,Delivery,North Indian,2.8,500.0
The Rich Crust,Cafe,"Cafe, European, Continental",3.8,600.0
THE RIG,"Microbrewery, Casual Dining","Continental, Finger Food, Pizza",4.3,1500.0
The Ritz-Carlton Bar - The Ritz-Carlton,Lounge,Finger Food,4.0,2000.0
The Roastery,Cafe,Cafe,4.3,500.0
The Rogue Elephant,Casual Dining,"Desserts, Asian, Beverages",4.3,1000.0
The Rolling Pin,"Bakery, Dessert Parlor","Bakery, Desserts",4.0,400.0
The RoofTop,Casual Dining,"North Indian, Asian, Mediterranean",3.3,1000.0
The Royal Corner - Pai Viceroy,Casual Dining,"North Indian, Chinese",4.2,900.0
The Salad Studio,Cafe,"Cafe, Healthy Food, Salad",4.0,400.0
The Salt Grill - Hilton Bangalore Embassy Golflinks,Fine Dining,"European, Mediterranean, Salad",4.1,3000.0
The Sanctuary,Cafe,"Cafe, Fast Food",3.9,450.0
The Sandesh Factory,Sweet Shop,"Mithai, Desserts",3.2,150.0
The Sandwich Club,Quick Bites,Fast Food,3.9,250.0
The Second Wife,Casual Dining,"South Indian, Andhra, Biryani",3.7,800.0
The Shake Factory Originals,"Beverage Shop, Quick Bites","Beverages, Fast Food",3.3,200.0
The Shawarma Inc,Quick Bites,"Arabian, Fast Food",3.3,200.0
The Shawarma Shop,Quick Bites,Arabian,2.8,250.0
The Sip Shop,Quick Bites,"Pizza, Beverages, Ice Cream",2.8,200.0
The Sky Lounge - Tamarind Hospitality,Bar,"North Indian, South Indian, Chinese, Continental",3.7,1200.0
The Smoke Co.,Casual Dining,"American, European",4.3,2500.0
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Casual Dining,"North Indian, Afghan",3.8,1350.0
The Souk,Cafe,"Cafe, Mediterranean, Italian, Pizza, Continental",3.7,800.0
The South,Quick Bites,South Indian,3.7,200.0
The Spice Bazaar,"Casual Dining, Bar","North Indian, Mughlai",4.2,1000.0
The Spice Box,Casual Dining,"North Indian, South Indian",3.6,800.0
The Spice Factory,Casual Dining,"North Indian, Mughlai, Chinese",3.1,550.0
The Spice Pavillion,Casual Dining,North Indian,3.7,600.0
The Spice Saga,Casual Dining,"Biryani, North Indian, Chinese, Seafood",3.7,750.0
The Spicy Kitchen,Quick Bites,"Arabian, Rolls",3.1,300.0
The Square - Novotel,Fine Dining,"Continental, North Indian, Japanese, Italian",4.3,2500.0
The Square Table,Casual Dining,"North Indian, Maharashtrian, South Indian",4.2,1000.0
The Story Wall Bistro,Casual Dining,"Italian, Continental",3.7,600.0
The Street Kitchen,Quick Bites,"North Indian, Fast Food, Chinese, Beverages",3.7,300.0
The Studio Bar,Lounge,"Italian, American, North Indian",4.0,1400.0
The Studio Cafe,Cafe,"Cafe, Beverages",3.8,400.0
The Sugar Factory - Le Meridien,Club,Finger Food,3.9,2000.0
The Sugar Fairy,Bakery,"Bakery, Desserts",4.3,100.0
The Sugar Therapy,"Dessert Parlor, Bakery","Desserts, Bakery",3.8,500.0
The Sweet Spot,Dessert Parlor,Desserts,4.0,300.0
The Table,Bakery,"Bakery, Desserts",3.8,400.0
The Taj Hotel,Quick Bites,"Biryani, Mughlai",3.5,350.0
The Tandoori Chai,Quick Bites,"North Indian, Fast Food, Street Food, Beverages",3.9,400.0
The Tao Terraces,Casual Dining,"Thai, Japanese, Korean, Burmese, Chinese",3.9,2100.0
The Taste Adda,Quick Bites,"North Indian, Fast Food, Beverages",2.8,200.0
The Taste Players,Casual Dining,"North Indian, Chinese, Mughlai, Biryani",3.7,500.0
The Teal Door Cafe,Cafe,"Cafe, Continental",4.2,800.0
The Terminus - The Oterra,Lounge,"Finger Food, Continental",4.0,2500.0
The Terrace at Gilly's Redefined,"Microbrewery, Casual Dining","Continental, Finger Food, Asian, North Indian",4.5,1400.0
The Terrace at Windmills Craftworks,Casual Dining,North Indian,4.1,1800.0
The Thali Company,"Takeaway, Delivery","North Indian, Lucknowi",3.3,600.0
The ThickShake Factory,Beverage Shop,"Beverages, Juices",2.8,350.0
The Three Dragons,Delivery,Chinese,3.3,400.0
The Tiffin Express,Quick Bites,South Indian,2.6,250.0
The Tiny Taproom,"Bar, Casual Dining","South Indian, North Indian, Chinese, Thai",2.8,800.0
The Tower Of Pizza,Quick Bites,"Pizza, Italian",2.9,500.0
The Trundle,Casual Dining,"Chinese, Thai, Continental, North Indian",3.7,700.0
The Tucck Box,Quick Bites,"Chinese, South Indian",3.4,300.0
The Twenty Handmade Chocolates,Confectionery,Desserts,3.8,300.0
The Twisted Desi,Casual Dining,"Continental, Italian, North Indian, Chinese",2.8,1000.0
The Underground Gastropub,Pub,Finger Food,3.0,1000.0
The Underpass Pub & Grub,"Pub, Casual Dining","Finger Food, Continental, North Indian, Chinese",4.0,1500.0
The Upper Deck - Raaj Residency,Casual Dining,"North Indian, Chinese",3.6,800.0
The Urban Roof,Casual Dining,"Italian, Chinese, Continental",3.6,800.0
The US Burger,Quick Bites,Fast Food,3.0,150.0
The Vacationer's Cafe,Cafe,"Cafe, Continental, Mexican",4.1,600.0
The Vape,Casual Dining,"Asian, Beverages",4.0,800.0
The Velu's,Kiosk,"Fast Food, Chinese",3.6,200.0
The Village Hotel,Quick Bites,Kerala,3.5,450.0
The Village Restaurant,Quick Bites,"North Indian, Chinese",3.0,200.0
The Vintage Cafe,Cafe,"Cafe, French, North Indian",3.0,400.0
The Waffcake Legacy,Dessert Parlor,"Desserts, Street Food, Sandwich, Beverages",4.0,350.0
The Waffle Press,Dessert Parlor,"Desserts, Ice Cream",4.2,400.0
The Waffle Street,"Quick Bites, Dessert Parlor","Continental, Beverages, Burger, Coffee, Desserts",3.9,300.0
The Waffle Yard,"Dessert Parlor, Quick Bites","Desserts, Fast Food",4.2,300.0
The Waffles Hut,Dessert Parlor,Desserts,3.6,400.0
The Waverly Express,Cafe,Cafe,3.5,650.0
The Whiskey Bar,Bar,"Finger Food, North Indian",3.7,2800.0
The White Room - Coffee & Kitchen,Cafe,"Cafe, Continental, American, Desserts",4.0,1000.0
The Whitefield Arms Pub & Microbrewery,"Pub, Microbrewery","British, Continental, BBQ",4.2,1600.0
The Wicked Cup,Cafe,"Cafe, Sandwich, Fast Food, Beverages, Desserts",3.9,350.0
The Wok,Food Court,"Chinese, Momos",2.8,500.0
The Wok Shop,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",3.4,500.0
The World Cafe,Cafe,Cafe,3.8,600.0
The Yellow Chilli,Casual Dining,"North Indian, Mughlai, Biryani",3.8,1200.0
The Yellow Submarine,"Microbrewery, Casual Dining","Continental, North Indian, Chinese, Pizza, Thai",4.4,1200.0
The Yellow Tuk-Tuk Cafe,Cafe,"Cafe, Continental, Beverages",3.6,500.0
The Yogisthaan Cafe,Cafe,"Cafe, Healthy Food, Salad, Beverages",4.1,600.0
The Yummy Box,Quick Bites,"North Indian, Chinese",3.8,200.0
The Yummy Tummy,Quick Bites,"North Indian, Street Food",3.5,200.0
The Zaika Of Banaras,Quick Bites,"North Indian, Street Food",3.3,350.0
Theeram Restaurant,Quick Bites,"North Indian, Kerala",3.8,400.0
Thejas Bhavan,Quick Bites,"North Indian, South Indian, Chinese",3.5,400.0
TheRiceBowl.In,Takeaway,"Biryani, North Indian",3.4,200.0
TherPUP - a Dog Cafe,Cafe,Cafe,4.2,700.0
Thindi Mane,Quick Bites,South Indian,3.4,300.0
Thindi Palace,Casual Dining,"North Indian, South Indian, Chinese",3.1,600.0
Third Wave Coffee Roasters,Cafe,"Cafe, Continental, Desserts",2.8,800.0
Third Wave Coffee Roasters @ The Bohemian House,Cafe,"Cafe, Continental, Desserts",2.8,800.0
Thirsty Tiger,"Bar, Casual Dining","Continental, Finger Food",3.5,1300.0
Thiruvithamkoor Restaurant,Quick Bites,"Kerala, Seafood, South Indian, Biryani",3.3,400.0
This Cafe Has No Name Cafe,Cafe,"Cafe, Beverages",3.2,500.0
Thom's Bakery,"Bakery, Quick Bites","Bakery, Fast Food",4.1,200.0
Thomson's Bakery,Bakery,Bakery,3.5,300.0
Thottathil Restaurant,Quick Bites,"Kerala, South Indian, Biryani",3.8,300.0
Thran,Casual Dining,Korean,4.2,1300.0
Thran Bakery,Bakery,"Bakery, Desserts, Beverages",3.6,600.0
Three Dots & A Dash,"Bar, Casual Dining","European, Continental",4.3,1500.0
Thrilok Restaurant,Quick Bites,"Mangalorean, Seafood",3.4,350.0
ThrowBack - Pub & Dine,"Bar, Casual Dining","Italian, North Indian, Continental",3.9,1000.0
Thrupthi Restaurant,Quick Bites,Kerala,3.4,150.0
Thunder Fried Chicken,Quick Bites,"North Indian, Biryani, Mughlai, Rolls",3.6,350.0
T-hut Cafe,Quick Bites,"Chinese, Beverages",3.6,300.0
Thyme & Whisk,Casual Dining,"Asian, Chinese, Continental, Italian",2.8,800.0
Tiamo - Conrad Bengaluru,Fine Dining,"Italian, Mediterranean",4.2,2500.0
Tibbs Frankie,Quick Bites,"Street Food, Rolls",2.9,200.0
Tibetan Kitchen,Quick Bites,"Tibetan, Chinese, Continental, Momos",4.3,600.0
Tibetan Mother's Kitchen,Casual Dining,"Tibetan, Chinese, Momos",4.0,500.0
Tiffanys,Casual Dining,"Continental, Italian, Chinese",2.9,1000.0
Tiffin Box,"Takeaway, Delivery",North Indian,2.8,200.0
Tiffin Inn's,Quick Bites,South Indian,3.7,250.0
Tiffin Room - Miraya Hotel & Residences,Fine Dining,"North Indian, South Indian, Asian",3.7,2000.0
Tiffinwala,"Takeaway, Delivery","North Indian, Chinese",2.8,500.0
Tiffun,Quick Bites,North Indian,3.9,300.0
Tiger Trail - Ramada Hotel,"Casual Dining, Bar","North Indian, Lucknowi",4.0,1300.0
Tiger Trail - Royal Orchid Hotel,Fine Dining,North Indian,4.1,2000.0
Tijouri,Fine Dining,"North Indian, Mughlai",4.0,2800.0
Tikka Kebab,Quick Bites,"Kebab, North Indian, Chinese",3.7,250.0
Till The Last Bite,Quick Bites,"North Indian, Chinese",3.4,300.0
Tilt Gastro Lounge,"Lounge, Casual Dining","Continental, American, North Indian, Chinese",4.1,1500.0
Tim Cafe,Cafe,"Cafe, Sandwich, Beverages",3.6,250.0
Tim Tai,Casual Dining,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",4.4,1400.0
Time Traveller - Sai Vishram,Casual Dining,"Continental, North Indian, South Indian, Chinese",4.2,1100.0
Timepass Dinner,Casual Dining,North Indian,3.8,600.0
Tintin Da Dhaba,Casual Dining,North Indian,3.4,500.0
Tippler,Pub,"Russian, Continental, North Indian",4.2,1300.0
Tipsy Bull - The Bar Exchange,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican",4.4,1400.0
Tisano Cafe,Cafe,"Cafe, Fast Food, Chinese, Continental",3.8,500.0
Tiwari's,Quick Bites,"North Indian, Street Food",3.8,200.0
Tiwari's Ghee Paratha and Chats,Quick Bites,"North Indian, Street Food",3.2,200.0
TLP Cafe,Cafe,"Cafe, Italian",3.9,400.0
Toast & Tonic,Casual Dining,"European, Asian",4.6,1500.0
Toast And Salad,Quick Bites,Healthy Food,3.5,300.0
Today Coffee,Quick Bites,South Indian,2.8,150.0
Toit,Microbrewery,"Italian, American, Pizza",4.7,1500.0
TOKI Taco House,Quick Bites,Mexican,3.6,200.0
Tomago Roast,Quick Bites,"Fast Food, Beverages",3.5,400.0
Tomba Kitchens,Quick Bites,North Eastern,2.8,300.0
Tongue Twisters,Quick Bites,"Bengali, North Indian, Oriya",3.5,350.0
Top Foam Parantha Roll & Juice Centre,Quick Bites,"North Indian, Chinese, Fast Food, Rolls",3.4,300.0
Toping Twist,Quick Bites,Chinese,2.8,200.0
Toscano,Casual Dining,"Italian, Salad",4.2,1500.0
Toscano - Mojito Bar,Casual Dining,"Continental, Italian, Mediterranean, Salad",4.3,1500.0
Toscano Wine Connection,"Casual Dining, Bar","Mediterranean, Italian",2.8,1200.0
Tosco,Beverage Shop,Beverages,3.5,250.0
Totaram's Paranthas,Quick Bites,North Indian,3.5,300.0
Totus,Quick Bites,Chinese,2.8,300.0
Treat,Casual Dining,"North Indian, Mughlai",3.8,800.0
Treat Kitchen,Quick Bites,"North Indian, Chinese, Seafood",3.8,400.0
Treat Restaurant,Casual Dining,"South Indian, North Indian, Chinese",2.8,400.0
Treatley,Delivery,"North Indian, Fast Food",3.1,500.0
Tree Top,Casual Dining,"Continental, Chinese, North Indian, South Indian",3.8,1000.0
Tree Tops Bar & Kitchen,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian",4.4,1000.0
Trendz Corner,Quick Bites,"South Indian, North Indian",3.6,200.0
Trick Or Treat,Cafe,"Cafe, Burger, Continental, Pizza, Steak",4.2,500.0
TRIGEREATO,Cafe,"Cafe, Continental, Beverages",4.3,700.0
Trinity Club Lounge,Lounge,Finger Food,3.5,1500.0
Trippy Paradise,Cafe,Cafe,2.6,900.0
Tripti Hotel & Restaurant,Quick Bites,"Biryani, South Indian, North Indian",3.6,200.0
Tripura Express,"Takeaway, Delivery","Pizza, Beverages",2.9,450.0
Trisha's Kitchen,"Takeaway, Delivery","North Indian, Chinese",3.2,300.0
Triveni,Casual Dining,"Andhra, North Indian, Chinese",3.6,600.0
Trofi N Treats,Food Court,"Rolls, Fast Food",2.8,250.0
Troll,Dessert Parlor,"Desserts, Ice Cream",3.8,300.0
Troll Cafe,Cafe,Cafe,3.4,400.0
TRP -That Roll Place,"Quick Bites, Food Court","Fast Food, Rolls",3.6,200.0
TRS Family Restaurant,Quick Bites,"South Indian, Andhra",2.8,150.0
TRUE BLEU RESTO CAFE,Quick Bites,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",4.2,400.0
True South,Quick Bites,"Beverages, Fast Food",2.8,200.0
Truffles,Cafe,"Cafe, American, Burger, Steak",4.5,900.0
Truly Punjab,"Takeaway, Delivery","North Indian, Biryani",4.0,500.0
Tuba Rolls & Snacks,Quick Bites,"Chinese, Fast Food, North Indian, Rolls",3.0,200.0
Tuckinto,Cafe,Cafe,3.8,400.0
Tuffreys,Dessert Parlor,"Desserts, Ice Cream",3.6,250.0
Tuk-Tuk,Food Court,North Indian,2.7,400.0
Tulips,Casual Dining,"North Indian, South Indian, Chinese, Continental",3.1,800.0
Tumbites,Quick Bites,North Indian,2.8,200.0
Tummy Delight,Quick Bites,North Indian,3.5,400.0
Tummy Fuel,Cafe,"Cafe, Beverages, Fast Food",4.1,400.0
Tummy Singh,Quick Bites,"North Indian, Chinese",2.8,700.0
Tummy Wants Yummy,Quick Bites,North Indian,2.8,150.0
Tunday Kababi,Casual Dining,"North Indian, Rolls, Kebab",3.8,500.0
Turkish Shawarma,"Takeaway, Delivery",Rolls,3.6,200.0
Turquoise,Lounge,North Indian,2.8,1200.0
Twilight Global Restaurant,Quick Bites,"North Indian, Chinese",3.5,600.0
