restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Zeleb,Restaurant,Bar Food,3.4,1300.0,Mundhwa,Pune
Marine Drive,Restaurant,"Continental, North Indian, Italian, Asian",3.9,1500.0,Hinjawadi,Pune
Legends of Punjab,Restaurant,"North Indian, Italian, Continental, Mexican",0.0,1500.0,Kalyani Nagar,Pune
Pop Tate's,Restaurant,"Continental, Italian, Chinese",4.9,1400.0,Viman Nagar,Pune
Highland,Restaurant,"Bar Food, North Indian, Mughlai, Chinese",4.1,1200.0,Baner,Pune
P. K. Biryani House,Restaurant,"Biryani, Seafood, North Indian, Kebab",3.9,1100.0,Kothrud,Pune
Lad Restaurant,Restaurant,"Maharashtrian, North Indian",4.2,500.0,Wakad,Pune
Texas Tower,Restaurant,"Continental, North Indian, Italian, Finger Food, Desserts",4.0,1600.0,Kharadi,Pune
Elephant & Co.,Restaurant,"Finger Food, Continental, Salad",4.3,1500.0,Kalyani Nagar,Pune
Effingut Brewerkz,Restaurant,"Continental, North Indian, Mughlai, Italian, Asian",4.5,2000.0,Baner,Pune
Cafe Paashh,Restaurant,"Cafe, European, Healthy Food, Modern Indian",4.9,1500.0,Kalyani Nagar,Pune
The Ritz-Carlton Tea Lounge,Restaurant,"Cafe, Tea, Bakery, Desserts, Beverages",0.0,1800.0,Yerawada,Pune
Madéline,Restaurant,"Cafe, French, European",3.9,850.0,Kothrud,Pune
Baobab,Restaurant,"North Indian, Italian, Asian",4.8,1200.0,Bund Garden Road,Pune
Moshi Moshi,Restaurant,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Sushi, Salad",4.6,1500.0,Koregaon Park,Pune
Loft,Restaurant,"Cafe, Continental, Italian, Thai, North Indian, Pizza, Burger",4.5,700.0,Viman Nagar,Pune
Culture - पुणे,Restaurant,"Bar Food, North Indian, Italian, Continental",4.3,1300.0,FC Road,Pune
McDonald's,Restaurant,"Burger, Fast Food",3.7,500.0,Aundh,Pune
Independence Brewing Company,Restaurant,"American, Continental, Mexican, North Indian, Beverages",4.3,1800.0,Mundhwa,Pune
Tatyancha Dhaba,Restaurant,"North Indian, Chinese",3.6,650.0,Baner,Pune
Cafe Blu - Radisson Blu,Restaurant,"Continental, North Indian, Asian, Fast Food, Beverages",4.6,1500.0,Hinjawadi,Pune
Green Signal,Restaurant,"Chinese, North Indian, Continental, Beverages",4.0,700.0,Deccan Gymkhana,Pune
SP's Biryani House,Restaurant,"Biryani, Mughlai",3.9,650.0,Sadashiv Peth,Pune
Baba Ramdev Dhaba,Restaurant,"North Indian, Rajasthani",4.2,400.0,Nigdi,Pune
