restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Spice of Delhi,Restaurant,"North Indian, South Indian, Chinese, Fast Food",2.9,450.0,Kharadi,Pune
Savlahari Mastani & Pot Ice-Cream,Restaurant,"Ice Cream, Beverages",3.2,250.0,Wadgaon Sheri,Pune
Red Jack,Restaurant,"North Indian, Chinese, Continental",3.4,800.0,Wakad,Pune
Mr. Dosa,Restaurant,South Indian,2.6,200.0,Kharadi,Pune
Chef & Spice,Restaurant,"Cafe, Italian, North Indian, Chinese",3.9,400.0,Magarpatta,Pune
Laziz Pizza,Restaurant,"Pizza, Fast Food",3.6,300.0,Ravet,Pune
The Village Dhaba,Restaurant,"North Indian, Maharashtrian",3.3,400.0,Hinjawadi,Pune
Sakshi Biryani House,Restaurant,"North Indian, Biryani, Maharashtrian",3.1,300.0,Hadapsar,Pune
Dakshin Rasoi,Restaurant,South Indian,3.2,400.0,Hadapsar,Pune
K9 Family Restaurant,Restaurant,"North Indian, Chinese",3.2,400.0,Mundhwa,Pune
Hotel Kaveri,Restaurant,"Maharashtrian, North Indian",2.9,550.0,Yerawada,Pune
Hotel Ghanshyam,Restaurant,"North Indian, Maharashtrian, Biryani, Chinese",3.1,400.0,Narhe,Pune
The Local,Restaurant,"North Indian, Chinese",2.8,350.0,Baner,Pune
Vrindavan Pure Veg,Restaurant,"North Indian, Maharashtrian",3.2,400.0,Pimpri,Pune
Hotel Jagdamba,Restaurant,"Maharashtrian, North Indian, Chinese",3.2,500.0,Talegaon,Pune
Jagdamb Anda Center,Restaurant,"Street Food, Fast Food",3.1,200.0,Katraj,Pune
Nashta Xpress by SK Wadewale,Restaurant,"Street Food, Maharashtrian, Tea",3.5,300.0,Kharadi,Pune
Kumaon Rassoi,Restaurant,"Chinese, North Indian",3.5,300.0,Hinjawadi,Pune
Shree Krishna Sandwiches Fries And Shakes,Restaurant,"Sandwich, Beverages, Fast Food",3.2,400.0,Camp Area,Pune
WiFi Tea Irani Cafe,Restaurant,Street Food,3.2,100.0,Pimple Saudagar,Pune
Coastal Culture Restaurant,Restaurant,"North Indian, Continental, Chinese, Mangalorean",3.6,1000.0,Baner,Pune
Guavaz Crravings The Sundae Lounge,Restaurant,Desserts,3.8,400.0,Kalyani Nagar,Pune
Nawabo 100% Biryani,Restaurant,"Biryani, North Indian",3.3,800.0,Ravet,Pune
Krishna Veg,Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.2,700.0,Viman Nagar,Pune
A1 Chikki,Restaurant,Mithai,3.2,300.0,Lonavala,Pune
KBC,Restaurant,"Biryani, Fast Food, North Indian",3.2,600.0,Baner,Pune
Anna Singh,Restaurant,"North Indian, South Indian, Street Food",3.7,550.0,Kothrud,Pune
The Noodle Place,Restaurant,Chinese,3.3,300.0,Katraj,Pune
Desi Paratha,Restaurant,"North Indian, Lebanese",3.2,300.0,Hinjawadi,Pune
Royal Pavbhaji & Juice Bar,Restaurant,"Street Food, Juices",3.6,300.0,Katraj,Pune
The Upper Deck By Sadashib Resto Bar,Restaurant,"North Indian, Chinese",3.1,1500.0,Chandan Nagar,Pune
Foodie Stop,Restaurant,"Fast Food, Beverages",3.6,400.0,Wakad,Pune
Cafe Freddo,Restaurant,"Cafe, Fast Food, Beverages",3.6,500.0,Sinhgad Road,Pune
Manveer Dining Hall,Restaurant,Rajasthani,3.3,200.0,Wakad,Pune
"KM Chicken Dam Biryani, Chinese Fast Food",Restaurant,"Chinese, Biryani",3.2,250.0,Kothrud,Pune
Hashtag Cafe & Chinese Restaurant,Restaurant,"Cafe, Fast Food",3.2,400.0,Narhe,Pune
Kavi Misal,Restaurant,Street Food,3.3,200.0,Chinchwad,Pune
Fast Food Station,Restaurant,"North Indian, Street Food, Momos",3.3,200.0,Kothrud,Pune
The Salad Lounge,Restaurant,"Salad, Healthy Food",3.5,300.0,Kharadi,Pune
Morya Cafe & Snacks,Restaurant,"Fast Food, Beverages",3.3,200.0,Nigdi,Pune
Sampan Restaurant,Restaurant,"North Indian, Chinese, Mughlai",3.0,600.0,NIBM Road,Pune
The Culcutta Foods,Restaurant,Bengali,3.3,450.0,Pimple Saudagar,Pune
S Kumar Wadewale & Premacha Chaha,Restaurant,Street Food,3.4,300.0,Bibvewadi,Pune
Hotel New China Town,Restaurant,Chinese,3.2,400.0,Karve Nagar,Pune
Lassi Corner,Restaurant,"Beverages, Fast Food",3.1,200.0,Lohegaon,Pune
Pokket Cafe,Restaurant,"Fast Food, Beverages",3.2,350.0,Kothrud,Pune
Urban Maratha Cafe,Restaurant,Fast Food,3.2,300.0,Magarpatta,Pune
Ganga Litti City,Restaurant,Bihari,3.4,150.0,Hadapsar,Pune
Tabbu's Pure Veg  Chinese,Restaurant,"North Indian, Chinese",3.0,350.0,Hinjawadi,Pune
Hotel Nisarg,Restaurant,"North Indian, Biryani, Chinese",3.4,500.0,Kothrud,Pune
Kiga Ice cream,Restaurant,"Ice Cream, Desserts",3.1,200.0,Hadapsar,Pune
Hotel Swarajya,Restaurant,Maharashtrian,3.0,400.0,Hinjawadi,Pune
Xtasy Lounge Bar,Restaurant,"Continental, North Indian",3.4,2100.0,Shivaji Nagar,Pune
Elaaf,Restaurant,"North Indian, Mughlai, Chinese, Biryani",3.4,500.0,Dhanori,Pune
Zaika Express,Restaurant,"Mughlai, Chinese, North Indian",3.3,400.0,Senapati Bapat Road,Pune
Hotel Saaj,Restaurant,"North Indian, Seafood, Mughlai, Malwani",3.4,700.0,Narhe,Pune
Punjabis,Restaurant,"North Indian, Chinese, Desserts",3.8,200.0,Hadapsar,Pune
Punjabi Zaika,Restaurant,North Indian,3.1,250.0,Chinchwad,Pune
Gulzar E Mohammedi,Restaurant,"Chinese, North Indian, Mughlai",3.1,450.0,Camp Area,Pune
Sindhi Street,Restaurant,Fast Food,3.4,200.0,Pimple Saudagar,Pune
Happy Hakka,Restaurant,Chinese,3.4,350.0,Kothrud,Pune
10000 Fish Fry,Restaurant,Seafood,3.2,300.0,Sinhgad Road,Pune
Kingdom Of Momos,Restaurant,"Momos, Chinese, North Indian, Rolls",3.6,300.0,Viman Nagar,Pune
Café Frosty N cheezy,Restaurant,"Fast Food, Italian, Coffee",3.2,250.0,Narhe,Pune
New Siddheshwar,Restaurant,"Fast Food, North Indian",3.2,350.0,Wagholi,Pune
Crazy Food Cafe,Restaurant,Fast Food,3.4,300.0,Dhankawadi,Pune
Datta Bhel,Restaurant,Street Food,3.2,100.0,Sinhgad Road,Pune
Hotel Red Chilly,Restaurant,"North Indian, Chinese",2.9,300.0,Hadapsar,Pune
Gaurav Snacks Center And Catering,Restaurant,"South Indian, Street Food",3.1,150.0,Budhwar Peth,Pune
Cafe MH 12,Restaurant,"Fast Food, Street Food, Beverages, North Indian, Chinese, Maharashtrian",3.0,400.0,Wadgaon Sheri,Pune
Aai Saheb Jagubai Hotel,Restaurant,North Indian,3.1,700.0,Chinchwad,Pune
Chota Bite by Cafe Goodluck,Restaurant,"North Indian, Fast Food, Street Food",3.5,800.0,Sinhgad Road,Pune
Dilbahar Veg & Non Veg,Restaurant,"Biryani, Chinese, North Indian",3.3,300.0,Wagholi,Pune
The Cake Shop,Restaurant,"Bakery, Desserts, Fast Food",3.1,350.0,Kharadi,Pune
Rajtoran  Gavran Special Thali,Restaurant,"North Indian, Maharashtrian",3.1,450.0,Katraj,Pune
Fit Food Company,Restaurant,"Salad, Continental, Beverages",3.7,500.0,NIBM Road,Pune
Calcutta Foods Express,Restaurant,"Bengali, Fast Food",2.8,200.0,Pimple Saudagar,Pune
Yummmm Raj,Restaurant,"South Indian, Fast Food",2.9,200.0,Hadapsar,Pune
Shaan-E-Punjaab,Restaurant,"North Indian, Italian, Chinese",3.2,900.0,Kharadi,Pune
Ranna Ghor,Restaurant,"Bengali, Chinese, North Indian",3.8,200.0,Pashan,Pune
Britto's Foodies Corner,Restaurant,"North Indian, Chinese, Mughlai",3.3,400.0,Salunkhe Vihar Road,Pune
Bits N Bites,Restaurant,Fast Food,0.0,300.0,Erandwane,Pune
Zaytun Restaurant & Cafe,Restaurant,"North Indian, Chinese, Arabian",3.2,550.0,Kondhwa,Pune
Le Chaat,Restaurant,Street Food,3.6,150.0,Baner,Pune
P - Square by Sanghavi's Kitchen,Restaurant,"Fast Food, North Indian, South Indian, Pizza",3.1,400.0,Ravet,Pune
Bits n Bites,Restaurant,"Fast Food, Beverages",3.1,250.0,Nigdi,Pune
Toasty Rosty,Restaurant,Fast Food,3.0,500.0,Sadashiv Peth,Pune
K2H Meals,Restaurant,"Maharashtrian, Street Food",3.5,250.0,Sinhgad Road,Pune
New Shegaon Kachori Centre,Restaurant,Street Food,3.3,100.0,Kothrud,Pune
Gokul Pure Veg,Restaurant,"North Indian, Chinese, South Indian, Fast Food",2.8,500.0,Kothrud,Pune
Mithai Magic,Restaurant,Mithai,3.0,300.0,Magarpatta,Pune
Tandoor Factory,Restaurant,Mughlai,3.5,500.0,Magarpatta,Pune
AL Rayan Restaurant,Restaurant,"Kerala, North Indian, Chinese, Mughlai",3.7,500.0,Kharadi,Pune
Vaishnu Hotel,Restaurant,"North Indian, Chinese",3.5,400.0,Pimple Saudagar,Pune
Hotel Farmaish,Restaurant,"North Indian, Chinese, Malwani",3.1,800.0,Bhosari,Pune
Dream Knight,Restaurant,"North Indian, Chinese",3.4,1600.0,Hadapsar,Pune
Kisa Veg Corner,Restaurant,South Indian,3.3,200.0,Hadapsar,Pune
Aunty's Paratha House,Restaurant,North Indian,3.4,200.0,Vishrantwadi,Pune
Shree Abhishek,Restaurant,"Chinese, North Indian, South Indian",2.5,600.0,Sinhgad Road,Pune
Kabab King,Restaurant,"Biryani, Italian, Chinese, Mughlai, Seafood, Beverages, Desserts",3.1,600.0,Ravet,Pune
Day Lite Bite,Restaurant,"Fast Food, Chinese, Beverages",3.5,400.0,Sinhgad Road,Pune
Sweet Crumbs,Restaurant,"Desserts, Bakery",3.5,500.0,Viman Nagar,Pune
Biryani Darbar,Restaurant,"North Indian, Biryani, Fast Food, Chinese",3.0,400.0,Senapati Bapat Road,Pune
The Pune Bistro,Restaurant,Fast Food,3.5,400.0,Kothrud,Pune
Cafe House Chat Corner,Restaurant,"Fast Food, Street Food",3.3,150.0,Erandwane,Pune
Cafe Old Delhi,Restaurant,North Indian,3.6,450.0,Viman Nagar,Pune
Club Shawarma,Restaurant,"Lebanese, Juices, Beverages",3.3,350.0,Pimpri,Pune
Minimelts,Restaurant,Ice Cream,3.5,250.0,Kalyani Nagar,Pune
Hotel Shree Vinayaka Pure Veg,Restaurant,North Indian,3.1,200.0,Pimple Gurav,Pune
London Street Lounge & Restaurant,Restaurant,"North Indian, Continental",3.2,1000.0,Kharadi,Pune
Shree Sai Veg Non-Veg Restaurant,Restaurant,"North Indian, Maharashtrian, Chinese, Biryani",3.2,500.0,Model Colony,Pune
Arun Ice Creams,Restaurant,Ice Cream,3.6,250.0,Dhankawadi,Pune
The Golden Box(TGB),Restaurant,"North Indian, Chinese, Thai, Fast Food",3.7,500.0,Pimple Nilakh,Pune
Cakes N Bites,Restaurant,Street Food,2.9,200.0,Hinjawadi,Pune
Sandwich Katta,Restaurant,"Fast Food, Sandwich, Beverages",3.2,250.0,Erandwane,Pune
I.K Caterer's Biryani,Restaurant,Biryani,3.3,300.0,Kharadi,Pune
Shake O Holic,Restaurant,Beverages,3.9,400.0,Wakad,Pune
Sargar Biryanis,Restaurant,"Biryani, North Indian, Chinese",3.3,800.0,Sadashiv Peth,Pune
Sarpanch Mala,Restaurant,"Chinese, North Indian, Seafood, Beverages",2.9,700.0,Nigdi,Pune
Hotel Mavala,Restaurant,North Indian,3.1,300.0,Narhe,Pune
Hotel Anand Bhuwan,Restaurant,"Maharashtrian, Malwani",3.3,450.0,Shukrawar Peth,Pune
Gavathi Restaurant,Restaurant,North Indian,3.2,350.0,Wakad,Pune
Red Chillies,Restaurant,Chinese,3.5,200.0,Wagholi,Pune
Kastakaar Wadi Family  Restaurant,Restaurant,Maharashtrian,3.4,350.0,Sinhgad Road,Pune
Food Paradise,Restaurant,"North Indian, Chinese",3.0,400.0,Kothrud,Pune
Pure Veg Divine,Restaurant,"Chinese, Fast Food",3.6,200.0,Karve Nagar,Pune
Eat Em Up,Restaurant,"Salad, Fast Food, South Indian, North Indian",3.3,450.0,Koregaon Park,Pune
Dakshin Bharat,Restaurant,"South Indian, North Indian",3.3,250.0,Balewadi,Pune
Jalsa Resto,Restaurant,Maharashtrian,3.5,450.0,Pimple Gurav,Pune
Shiv Dining Hall & Restaurant,Restaurant,North Indian,3.4,250.0,Hinjawadi,Pune
Pappu Chaiwalla,Restaurant,"Street Food, Fast Food, North Indian, Beverages",3.5,350.0,Magarpatta,Pune
Cream and Crush,Restaurant,Cafe,3.2,200.0,Bibvewadi,Pune
Doodle Cafe,Restaurant,"Cafe, Fast Food",3.4,250.0,Kothrud,Pune
Swirl Station,Restaurant,"Desserts, Ice Cream",3.6,300.0,Sinhgad Road,Pune
Egg Bite,Restaurant,"Street Food, Fast Food, Beverages",2.9,200.0,Nigdi,Pune
The Irani Cafe Restaurant,Restaurant,"Iranian, Mughlai",3.6,800.0,Viman Nagar,Pune
Jugs And Mugs,Restaurant,"Cafe, Chinese, Continental, North Indian",3.3,500.0,Kharadi,Pune
Khushboo Resto,Restaurant,North Indian,2.9,700.0,Hinjawadi,Pune
Hotel Jagaat Bhaari Kolhapuri,Restaurant,Maharashtrian,3.3,200.0,Sinhgad Road,Pune
Flavours - The Veg Treat,Restaurant,"Fast Food, South Indian, North Indian",3.5,400.0,Wakad,Pune
New Supreme Pavbhaji And Creamist Live Ice Cream Rolls,Restaurant,"Desserts, Street Food",3.3,400.0,Wakad,Pune
Red Chilli Restaurant,Restaurant,"North Indian, Chinese",3.3,750.0,Hadapsar,Pune
Rankala Misal House Snacks Centre,Restaurant,"Fast Food, Maharashtrian, Street Food",3.6,150.0,Balewadi,Pune
Mithla Paratha & Thali House,Restaurant,"North Indian, Maharashtrian",3.3,400.0,Baner,Pune
Idli Sambar,Restaurant,"South Indian, Chinese, North Indian",3.4,300.0,B.T. Kawade Road,Pune
Foodies,Restaurant,"Fast Food, Sandwich, Italian",2.9,400.0,Camp Area,Pune
Pokket Cafe,Restaurant,Cafe,2.9,500.0,Kharadi,Pune
Hot Tadka Restaurant,Restaurant,"North Indian, South Indian, Chinese, Fast Food",2.7,500.0,Wakad,Pune
Urus Restaurant,Restaurant,"Maharashtrian, North Indian, Mughlai",3.7,600.0,Shivapur,Pune
King's Biryani,Restaurant,Biryani,2.7,300.0,Viman Nagar,Pune
The Veg Culture,Restaurant,"North Indian, Italian, Mexican",3.8,1000.0,Aundh,Pune
Capers Pizza,Restaurant,"Italian, Pizza",3.2,500.0,Magarpatta,Pune
Hotel Aishwarya Family Restaurant & Bar,Restaurant,"North Indian, Chinese",3.1,800.0,Chakan,Pune
Hotel Alishan,Restaurant,"Chinese, North Indian",3.4,450.0,Wadgaon Sheri,Pune
Between Bread,Restaurant,"American, Chinese, Italian",3.8,500.0,Sinhgad Road,Pune
Rasgandha Pure Veg Restaurant,Restaurant,"North Indian, Chinese, Italian, South Indian, Fast Food",3.5,800.0,Dange Chowk,Pune
NUDO Pizzeria Al Naturale,Restaurant,"Pizza, Italian",3.3,600.0,Kalyani Nagar,Pune
My Food Planet,Restaurant,North Indian,3.5,400.0,Pimple Gurav,Pune
Pick Me Up,Restaurant,"Fast Food, Beverages",3.0,400.0,Dhanori,Pune
Kathi Junction,Restaurant,"Rolls, Fast Food",3.4,250.0,Pimple Saudagar,Pune
Hotel Patil,Restaurant,Maharashtrian,3.2,300.0,Pimple Gurav,Pune
The Theka,Restaurant,North Indian,3.3,800.0,Pune-Solapur Road,Pune
Hungry Foodies,Restaurant,"Fast Food, Burger, Pizza, Sandwich",3.4,200.0,Pimpri,Pune
Nomad's,Restaurant,Fast Food,3.5,300.0,Model Colony,Pune
Metro Cafe,Restaurant,Fast Food,3.0,300.0,Warje,Pune
Punjabi Darbar Rasoi King,Restaurant,"North Indian, Chinese, Biryani",3.4,600.0,Hadapsar,Pune
Oasis Family Resto,Restaurant,"Chinese, North Indian",3.6,500.0,Sinhgad Road,Pune
Zayka,Restaurant,"Fast Food, Chinese",3.5,400.0,Wakad,Pune
Kalpna Bhel,Restaurant,Street Food,3.1,100.0,Sadashiv Peth,Pune
Redefined Tea,Restaurant,Tea,3.5,100.0,Magarpatta,Pune
Redefined Tea,Restaurant,Tea,3.5,100.0,Magarpatta,Pune
Hotel Shiv Paratha House,Restaurant,"North Indian, Street Food",3.7,200.0,Deccan Gymkhana,Pune
Zaika Biryani House,Restaurant,"Biryani, North Indian",3.2,300.0,Nigdi,Pune
Desi Firangi,Restaurant,"Fast Food, Street Food, North Indian",3.1,300.0,Bhosari,Pune
Hotel Jijau,Restaurant,"North Indian, Mughlai, Chinese",3.3,450.0,Kothrud,Pune
Kalyani Bhel,Restaurant,Street Food,3.1,150.0,Sinhgad Road,Pune
Pita & Pizza,Restaurant,"Italian, Arabian, Fast Food",3.8,500.0,Hadapsar,Pune
99 Dishes,Restaurant,North Indian,3.3,700.0,Magarpatta,Pune
Sai Tirth Misal House,Restaurant,Street Food,3.3,100.0,Vishrantwadi,Pune
Cafe Om Sai Pure Veg,Restaurant,"North Indian, Chinese, Fast Food, South Indian",2.8,350.0,Bavdhan,Pune
Vateshwar Bhuvan,Restaurant,Street Food,3.5,100.0,Shukrawar Peth,Pune
Shree Siddhivinayak Vada Pav Center,Restaurant,Street Food,3.5,150.0,Pimple Gurav,Pune
SP's NonVeg,Restaurant,Maharashtrian,2.9,400.0,Hadapsar,Pune
Rangda Punjab,Restaurant,"North Indian, Chinese",2.8,600.0,Khadki,Pune
Khushboo Snacks,Restaurant,"Street Food, Maharashtrian",3.4,400.0,Kothrud,Pune
Kalpana,Restaurant,"Chinese, Street Food",3.3,250.0,Parvati,Pune
Chai It,Restaurant,"Fast Food, Beverages",3.7,500.0,Baner,Pune
Hotel Suvarna,Restaurant,"Chinese, North Indian",3.2,500.0,B.T. Kawade Road,Pune
Minus 301 Degrees F,Restaurant,"Ice Cream, Desserts",3.8,250.0,Baner,Pune
Mayuresh Dining Hall,Restaurant,"Gujarati, North Indian",3.4,400.0,Kothrud,Pune
Sangram,Restaurant,"Chinese, North Indian",2.9,900.0,Hadapsar,Pune
Hotel New Vishwavilas,Restaurant,"North Indian, Chinese, Biryani",3.4,800.0,Chinchwad,Pune
El Cafe Amigos,Restaurant,Fast Food,3.6,400.0,Dhankawadi,Pune
Hindustan Bakery,Restaurant,Bakery,3.3,100.0,Karve Nagar,Pune
Shree Maharaja,Restaurant,South Indian,3.9,200.0,Wanowrie,Pune
Malwani Thaat,Restaurant,"North Indian, Malwani, Chinese",3.7,550.0,Lonavala,Pune
Avenue Restaurant and Bar,Restaurant,"North Indian, Chinese",3.2,1500.0,FC Road,Pune
Paramount Ice Cream,Restaurant,"Ice Cream, Beverages",4.1,200.0,Baner,Pune
The Veg Eatarian,Restaurant,"North Indian, Italian, Continental",3.6,1000.0,Satara Road,Pune
Surya Family Restaurant,Restaurant,"North Indian, Mughlai, Chinese, Seafood, Italian",3.3,1000.0,Bhosari,Pune
Cafe Bollywood,Restaurant,"Fast Food, Chinese, South Indian",2.4,300.0,Chinchwad,Pune
S.L.J. Bangalore Iyangar's Bakery,Restaurant,"Bakery, Desserts, Fast Food",3.8,300.0,Pimple Saudagar,Pune
Green Lounge,Restaurant,"North Indian, Chinese, Seafood, Mughlai",3.7,800.0,Pashan,Pune
Raiba,Restaurant,"Maharashtrian, North Indian, Biryani",3.4,400.0,Rasta Peth,Pune
Bhavnagari Sweets,Restaurant,Mithai,3.3,100.0,Rasta Peth,Pune
Celebration - Mercure,Restaurant,"North Indian, Chinese, Continental",3.9,1700.0,Lavasa,Pune
Model Café,Restaurant,"Cafe, Italian, Fast Food",2.6,500.0,Model Colony,Pune
Mags Sports Lounge,Restaurant,"North Indian, Chinese, Thai",3.5,1000.0,Baner,Pune
Tapri,Restaurant,"North Indian, Chinese, Fast Food",3.3,300.0,Lavale,Pune
Hotel Sonam,Restaurant,"South Indian, Fast Food, North Indian",3.6,450.0,Hinjawadi,Pune
Sugran Swayampakghar,Restaurant,Maharashtrian,3.4,200.0,Bibvewadi,Pune
Katraj Junction,Restaurant,"North Indian, Chinese",3.1,1000.0,Katraj,Pune
MEAL 40,Restaurant,"North Indian, Chinese, Fast Food, Biryani, Beverages",3.5,700.0,Wadgaon Sheri,Pune
Amrale Misal,Restaurant,"Fast Food, Maharashtrian",3.4,100.0,Mulshi Road,Pune
Red Chillies Resto Bar,Restaurant,"North Indian, Chinese",3.3,700.0,Camp Area,Pune
Tatyo,Restaurant,"Street Food, Maharashtrian, South Indian",3.3,200.0,Deccan Gymkhana,Pune
Hotel Shree B,Restaurant,"North Indian, South Indian",3.3,1000.0,Nigdi,Pune
Barbeque Garage,Restaurant,"North Indian, Chinese, BBQ",3.4,400.0,Viman Nagar,Pune
Portico Family Restaurant,Restaurant,"North Indian, Chinese, Seafood, South Indian",3.5,700.0,Chinchwad,Pune
House of Hungers,Restaurant,Fast Food,3.2,350.0,Bhosari,Pune
Shree Radhakrishna,Restaurant,"North Indian, Fast Food, Chinese, Ice Cream, Beverages",3.5,600.0,Pimpri,Pune
Taste Destination,Restaurant,"North Indian, Chinese, Maharashtrian",3.4,800.0,Aundh,Pune
Dilli 6 se MH 12,Restaurant,North Indian,3.3,300.0,Hadapsar,Pune
Radhakrishna Veg Non-Veg,Restaurant,North Indian,3.2,500.0,Hadapsar,Pune
Bakes By RJ,Restaurant,Bakery,3.5,400.0,Baner,Pune
Duchess,Restaurant,"American, North Indian, Italian, Chinese",3.3,1700.0,Lonavala,Pune
Prathamesh Hotel,Restaurant,"North Indian, Chinese, Maharashtrian",3.5,500.0,Ravet,Pune
Pizza Point,Restaurant,"Pizza, Fast Food",3.3,350.0,Hadapsar,Pune
The Dark Horse,Restaurant,"North Indian, Italian",3.5,1400.0,Koregaon Park,Pune
Tejas Dhaba,Restaurant,"North Indian, Chinese, Mughlai, Seafood, Desserts, Beverages",3.0,900.0,Lonavala,Pune
Mantraa,Restaurant,"North Indian, Chinese",2.7,1000.0,Wakad,Pune
Suraj Dhaba,Restaurant,"North Indian, Chinese, Seafood",3.2,600.0,Old Mumbai-Pune Highway,Pune
Dhaba Collage,Restaurant,"North Indian, Chinese, Mughlai",3.6,900.0,Lonavala,Pune
Jai Malhar Dhaba,Restaurant,"North Indian, Chinese",3.1,600.0,Old Mumbai-Pune Highway,Pune
Hotel Rajdhani,Restaurant,"North Indian, Chinese",3.2,500.0,Wagholi,Pune
Hotel Ranjatra,Restaurant,North Indian,3.1,250.0,Wagholi,Pune
Tasty Bites,Restaurant,"Maharashtrian, Fast Food",3.0,250.0,JM Road,Pune
Metro Cafe,Restaurant,"Fast Food, Sandwich",3.7,300.0,Katraj,Pune
Kalash,Restaurant,"North Indian, Chinese, South Indian, Sandwich, Beverages",3.5,600.0,Kondhwa,Pune
Ganesh Bhawan,Restaurant,"Mithai, Street Food",3.4,100.0,B.T. Kawade Road,Pune
Meets Place Snacks and Coffee Bar,Restaurant,"Street Food, Fast Food, Beverages",2.7,150.0,Wakad,Pune
A Loaf Story,Restaurant,"Cafe, Pizza, Fast Food, Sandwich, Beverages",3.8,400.0,Nigdi,Pune
Royal Court,Restaurant,"Chinese, North Indian",3.1,400.0,Dhanori,Pune
Royal Court,Restaurant,"Chinese, North Indian",3.1,400.0,Dhanori,Pune
Lai Bhari Kolhapuri,Restaurant,"Chinese, North Indian",3.1,350.0,Sinhgad Road,Pune
Hotel Nisarg,Restaurant,"North Indian, Maharashtrian",3.1,500.0,Pimpri,Pune
Sohail Machhli Lunch Home,Restaurant,"Chinese, Seafood, North Indian",3.6,700.0,Lonavala,Pune
Pakwan Sweets And Namkeen,Restaurant,Mithai,3.8,100.0,Pimple Saudagar,Pune
Naivedya Restaurant,Restaurant,"Gujarati, North Indian",3.1,400.0,Shivapur,Pune
Candle Hut,Restaurant,"North Indian, Chinese, Continental",3.3,1200.0,Mundhwa,Pune
Himalaya Momo,Restaurant,"Chinese, Momos",3.9,100.0,KP and Kalyani,Pune
Darjeeling Momo's and Chinese,Restaurant,"Chinese, North Indian",3.4,400.0,Mundhwa,Pune
Tarriii Misal House,Restaurant,Street Food,3.8,150.0,Pimpri,Pune
Swaraj,Restaurant,"Fast Food, Beverages",3.3,200.0,Hinjawadi,Pune
Chai Shai,Restaurant,"Fast Food, Beverages",3.4,200.0,Hinjawadi,Pune
Vandana,Restaurant,"Chinese, South Indian, Street Food, North Indian",2.9,450.0,Hadapsar,Pune
Punjabi Darbar,Restaurant,"North Indian, Chinese, Mughlai",2.9,550.0,Hadapsar,Pune
Rohit Coffee Corner,Restaurant,Beverages,4.0,150.0,Sadashiv Peth,Pune
Cafe with a Twist,Restaurant,"Chinese, Fast Food",3.6,550.0,NIBM Road,Pune
V Cafe And Restaurant,Restaurant,"North Indian, Chinese, Thai, Sandwich",3.4,800.0,Sinhgad Road,Pune
Kareems,Restaurant,"North Indian, Mughlai",2.8,750.0,Aundh,Pune
Urbanspiice,Restaurant,"North Indian, Chinese, Kebab",3.2,800.0,Old Mumbai-Pune Highway,Pune
Madhava's,Restaurant,"Fast Food, Street Food, Desserts",3.3,350.0,Chinchwad,Pune
New Tulsi Veg-Idli Corner,Restaurant,"Chinese, North Indian, South Indian",2.7,500.0,Chandan Nagar,Pune
Spice,Restaurant,"Fast Food, Burger, Healthy Food",3.6,350.0,Nigdi,Pune
Feast Multicuisine Restaurant -Zip By Spree Spine Hotel,Restaurant,"Continental, North Indian, Chinese",3.2,700.0,Hinjawadi,Pune
Shivam Bhel,Restaurant,"Fast Food, Desserts",3.4,200.0,Hadapsar,Pune
M Pizza,Restaurant,Pizza,3.3,500.0,Kothrud,Pune
Ayyappa Dosa Centre,Restaurant,South Indian,3.2,150.0,Pimpri,Pune
Le Cheezy,Restaurant,"Pizza, Fast Food, Beverages",3.2,500.0,Kothrud,Pune
Gokool,Restaurant,"Street Food, Fast Food, North Indian, Chinese",3.7,600.0,Camp Area,Pune
Hotel Ratna,Restaurant,"North Indian, Chinese",3.8,500.0,Pune University,Pune
Sarathi Veg Restaurant,Restaurant,"North Indian, Chinese, South Indian",2.7,400.0,Erandwane,Pune
Kerala Snacks Centre,Restaurant,"Kerala, North Indian",3.2,200.0,Wanowrie,Pune
Anand Bhuvan,Restaurant,Fast Food,3.7,100.0,Khadki,Pune
Sonali Restaurant,Restaurant,"Maharashtrian, North Indian",2.9,1000.0,Bhosari,Pune
Sri Krishna Hotel,Restaurant,Street Food,3.0,100.0,Camp Area,Pune
Hotel Harsha,Restaurant,"North Indian, Chinese",3.1,600.0,Dange Chowk,Pune
Kadhai,Restaurant,"South Indian, Fast Food, Mithai",3.8,250.0,Aundh,Pune
Nisarg Veg,Restaurant,"North Indian, Chinese, Fast Food",3.0,500.0,Sinhgad Road,Pune
Nisarg Veg,Restaurant,"North Indian, Chinese, Fast Food",3.0,500.0,Sinhgad Road,Pune
Trimurti Pride,Restaurant,"North Indian, Chinese, Biryani",3.4,700.0,Katraj,Pune
Holiday Cottage Inn,Restaurant,"North Indian, Chinese",3.0,500.0,Khadakwasla,Pune
Tapasya,Restaurant,"North Indian, South Indian, Fast Food, Street Food",3.7,450.0,Sadashiv Peth,Pune
Kaware Cold Drinks,Restaurant,"Ice Cream, Beverages",3.9,300.0,Budhwar Peth,Pune
Hotel Atithi Pure Veg,Restaurant,"North Indian, Chinese, Biryani",3.0,550.0,Bhosari,Pune
High Point Bar & Restaurant,Restaurant,Finger Food,3.6,1000.0,Lonavala,Pune
