restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Izakaya Gastro Pub,"Bar, Casual Dining","North Indian, Continental, Mediterranean",3.8,1200.0,Whitefield,Whitefield,Bangalore
J K Fish Land,Quick Bites,"Seafood, Mangalorean",3.6,300.0,Banashankari,Jayanagar,Bangalore
J Spice,Casual Dining,"North Indian, Chinese",3.8,750.0,Jayanagar,Banashankari,Bangalore
Jade,Casual Dining,"Continental, American",3.3,900.0,Koramangala 4th Block,Ejipura,Bangalore
Jadoo Ka Dabba,Delivery,"North Indian, Chinese",3.6,200.0,Koramangala 4th Block,Koramangala 3rd Block,Bangalore
Jaffa's Biryani,Casual Dining,"Biryani, North Indian, Chinese",3.8,550.0,Brookefield,Marathahalli,Bangalore
Jaganath Hotel and Restaurant,Quick Bites,"North Indian, Chinese",3.6,200.0,Bannerghatta Road,JP Nagar,Bangalore
Jaganath Restaurant And Hotel,Quick Bites,North Indian,3.2,300.0,Bannerghatta Road,JP Nagar,Bangalore
Jagannath Delicacy,Casual Dining,"North Indian, Chinese",2.8,500.0,Brookefield,Brookefield,Bangalore
Jagannath Mess,Mess,"Andhra, North Indian, South Indian",2.8,300.0,Brookefield,Brookefield,Bangalore
Jai Bhavani Dhaba,Dhaba,"North Indian, Chinese, Seafood",3.0,300.0,Kalyan Nagar,Nagawara,Bangalore
Jai Bhavani Savaji Hotel,Quick Bites,"South Indian, Biryani",2.9,400.0,Rajajinagar,Vijay Nagar,Bangalore
Jai Bhawani,Casual Dining,"North Indian, South Indian, Chinese",3.6,600.0,Lavelle Road,Majestic,Bangalore
Jai Jinendra,Quick Bites,"Street Food, Beverages",4.0,200.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Jai Mataji Farshan & Sweets,"Sweet Shop, Quick Bites","Mithai, Street Food",3.8,150.0,Frazer Town,Banaswadi,Bangalore
Jain Bakes,Bakery,"Bakery, Desserts",3.6,250.0,Banashankari,Basavanagudi,Bangalore
Jaisalmer,Casual Dining,"North Indian, Chinese",3.7,700.0,Brigade Road,St. Marks Road,Bangalore
Jaishree Pavilion,Casual Dining,"North Indian, South Indian, Chinese",3.7,700.0,Indiranagar,Thippasandra,Bangalore
Jalaram Sweets,Sweet Shop,"Desserts, Mithai",3.8,250.0,Banashankari,Jayanagar,Bangalore
Jalpaan,Casual Dining,"North Indian, Continental",3.9,900.0,Malleshwaram,Rajajinagar,Bangalore
Jalsa,Casual Dining,"North Indian, Mughlai, Chinese",4.1,800.0,Banashankari,Banashankari,Bangalore
Jalsa Adda,Food Court,"North Indian, South Indian, Arabian",3.2,400.0,Whitefield,Whitefield,Bangalore
Jalsa Gold,Casual Dining,"North Indian, Mughlai, Italian",4.5,1300.0,Bellandur,Marathahalli,Bangalore
Jamavar - The Leela Palace,Fine Dining,"North Indian, South Indian",4.2,4000.0,Indiranagar,Old Airport Road,Bangalore
