restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Cafe Coffee Day The Lounge,Cafe,"Cafe, Fast Food",2.9,650.0,Indiranagar,Indiranagar,Bangalore
Cafe Coffee Day The Square,Cafe,Cafe,4.1,1100.0,Church Street,Lavelle Road,Bangalore
Cafe Conico,Cafe,"Cafe, Beverages",2.8,600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cafe Cosy,Cafe,"Cafe, Chinese, Continental, Fast Food",4.1,800.0,Basavanagudi,Jayanagar,Bangalore
Cafe Crumb'z,"Cafe, Dessert Parlor","Cafe, Beverages, Fast Food",3.3,300.0,Electronic City,Electronic City,Bangalore
Cafe Daily Bread,"Bakery, Quick Bites","Bakery, Fast Food, Italian",3.7,600.0,Bellandur,Bellandur,Bangalore
Cafe D'Costa,Bakery,Bakery,3.8,200.0,Frazer Town,Frazer Town,Bangalore
Cafe D'hide,Cafe,"Cafe, American, Continental, Italian",4.2,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Cafe Fattoush,Cafe,"Cafe, Lebanese",3.8,700.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cafe Get Hooked,Cafe,Cafe,3.6,600.0,Kalyan Nagar,Banaswadi,Bangalore
Cafe Graffiters,Cafe,"Cafe, Continental, Beverages",3.8,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Cafe Grill,Quick Bites,"Chinese, North Indian, Rolls",4.1,300.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Cafe Happytizing,Cafe,"Cafe, Sandwich, Pizza, North Indian, Mexican",4.1,700.0,Electronic City,Electronic City,Bangalore
Cafe HIGHRANGERS,Cafe,"Cafe, Fast Food, Chinese",3.3,400.0,Electronic City,Electronic City,Bangalore
Cafe Hops,Dessert Parlor,"Desserts, Bakery",3.7,300.0,Bannerghatta Road,JP Nagar,Bangalore
Cafe Hush,Cafe,"Cafe, Fast Food",3.6,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cafe Idly,Quick Bites,"South Indian, Fast Food",2.9,200.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Cafe Iftar,Quick Bites,"Fast Food, Street Food",3.8,200.0,Frazer Town,Frazer Town,Bangalore
Cafe Imroze,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",3.6,650.0,Brigade Road,Infantry Road,Bangalore
Cafe Indiana,"Quick Bites, Dessert Parlor","Fast Food, Desserts",3.5,600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cafe Jezve,Cafe,Cafe,3.8,500.0,Kammanahalli,Koramangala 5th Block,Bangalore
Cafe Kaara,Cafe,"Cafe, Salad, Desserts, Pizza",4.2,750.0,Brigade Road,Ulsoor,Bangalore
Cafe Kabana,Cafe,"Cafe, Continental",4.0,700.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cafe Lassi Lab,"Quick Bites, Beverage Shop","Fast Food, Beverages",3.3,300.0,Malleshwaram,New BEL Road,Bangalore
Cafe Longing,Cafe,"Cafe, Fast Food",2.8,200.0,Koramangala 5th Block,BTM,Bangalore
Cafe Madhura,Quick Bites,South Indian,3.8,200.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Cafe Mamma Mia,"Casual Dining, Cafe","Continental, Italian, Cafe, Beverages, Desserts",3.7,600.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Cafe Mandala,Cafe,Cafe,3.9,600.0,Malleshwaram,New BEL Road,Bangalore
Cafe Mangii,Casual Dining,"Italian, Continental, Pizza",4.3,1600.0,Brigade Road,Lavelle Road,Bangalore
Cafe Max,"Cafe, Casual Dining","Cafe, Continental, Italian, German, French, Spanish",4.2,1300.0,Indiranagar,Indiranagar,Bangalore
Cafe Medley,Cafe,"Cafe, Continental, Burger",4.2,800.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Cafe Mingo?s,Quick Bites,"Fast Food, Beverages",3.3,200.0,Frazer Town,Cunningham Road,Bangalore
Cafe Mist,Cafe,"Cafe, American, Continental, Italian",3.8,500.0,Bannerghatta Road,JP Nagar,Bangalore
Cafe Monarch Luxur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",3.8,800.0,Brigade Road,Infantry Road,Bangalore
Cafe Mondo,Cafe,"Cafe, Italian, Beverages",3.7,600.0,Jayanagar,Basavanagudi,Bangalore
Cafe Mozaic - Taj MG Road Bengaluru,"Casual Dining, Cafe","North Indian, Italian, South Indian, Continental, Cafe, Salad",4.1,2500.0,Brigade Road,MG Road,Bangalore
Cafe Nibras,Cafe,"Cafe, Continental",3.4,400.0,Frazer Town,Banaswadi,Bangalore
Cafe Noir,Casual Dining,"European, French, Salad",3.4,1500.0,Brookefield,Whitefield,Bangalore
Cafe Nosh,Cafe,"Cafe, Continental, Steak",4.2,500.0,New BEL Road,Sahakara Nagar,Bangalore
CAFE NOVA,Cafe,"Cafe, Bakery",3.2,600.0,Banashankari,Banashankari,Bangalore
Cafe Nukkad,Quick Bites,Fast Food,4.0,200.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Cafe of Joy,Casual Dining,Continental,3.7,600.0,Brookefield,Whitefield,Bangalore
Cafe Oleiva,Cafe,Cafe,3.3,500.0,Indiranagar,Thippasandra,Bangalore
Cafe Olive,Cafe,"Cafe, Italian",3.1,500.0,Brookefield,Marathahalli,Bangalore
Cafe On The Way,Cafe,Cafe,4.0,500.0,Koramangala 4th Block,Koramangala 3rd Block,Bangalore
Cafe Orio,Cafe,"Cafe, Fast Food",4.0,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cafe P Square,Quick Bites,"Street Food, Beverages, Fast Food",3.8,250.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Cafe Palmyra,"Casual Dining, Cafe","Chinese, North Indian, Continental, Cafe",4.2,2000.0,Brookefield,Whitefield,Bangalore
Cafe Palnad,Quick Bites,"South Indian, Fast Food",4.0,400.0,Electronic City,Electronic City,Bangalore
Cafe Petu,Quick Bites,"North Indian, Sandwich",3.8,300.0,Brookefield,Marathahalli,Bangalore
Cafe Pink Pajamas,Cafe,"Cafe, Italian",4.1,700.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Cafe Poetry,Cafe,"Cafe, Beverages, Healthy Food",3.7,400.0,Malleshwaram,New BEL Road,Bangalore
Cafe Potpourri,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",3.7,400.0,Bannerghatta Road,JP Nagar,Bangalore
Cafe Qissa,Quick Bites,"Burger, Cafe, Drinks Only, Juices",3.3,100.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Cafe Repeat,Quick Bites,"North Indian, Fast Food",2.8,250.0,Bellandur,Sarjapur Road,Bangalore
Cafe Ritzz,Casual Dining,"North Indian, Chinese",3.6,700.0,Old Airport Road,Indiranagar,Bangalore
Cafe Rossini,Casual Dining,"Continental, Italian, Chinese",3.9,700.0,Malleshwaram,New BEL Road,Bangalore
Cafe Shawamek,Quick Bites,Fast Food,3.2,300.0,Electronic City,Electronic City,Bangalore
Cafe Shuffle,Cafe,"Cafe, Italian, Continental",4.2,600.0,Banashankari,Banashankari,Bangalore
Cafe Soy,"Takeaway, Delivery",Asian,3.8,250.0,Indiranagar,Indiranagar,Bangalore
Cafe Srinidhi,Quick Bites,"South Indian, North Indian, Fast Food, Street Food",3.1,200.0,Old Airport Road,Indiranagar,Bangalore
Cafe Sulaimani,Quick Bites,"Kerala, South Indian, Biryani",2.8,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cafe Talk,"Cafe, Casual Dining","Cafe, Continental, North Indian, Bakery, Desserts",3.3,700.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cafe Terra,Cafe,"Cafe, Continental",2.8,700.0,Basavanagudi,Jayanagar,Bangalore
Cafe Thulp,Cafe,"Cafe, Burger, Italian, Salad",3.4,1000.0,Brookefield,"ITPL Main Road, Whitefield",Bangalore
Cafe Treat - The Pride Hotel,Casual Dining,"Continental, Asian, Italian",4.1,1000.0,Church Street,Richmond Road,Bangalore
Cafe Udupi Ruchi,Quick Bites,"South Indian, North Indian, Street Food",4.0,350.0,Rajajinagar,Vijay Nagar,Bangalore
Cafe Velvette,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",3.4,400.0,Old Airport Road,Domlur,Bangalore
Cafe Vivacity,Cafe,Cafe,3.8,650.0,Banashankari,Banashankari,Bangalore
Cafe Zamorin,Quick Bites,"Chinese, Kerala",3.7,300.0,Kalyan Nagar,Hennur,Bangalore
Cafe Zone,Quick Bites,"Fast Food, Chinese, Rolls",3.9,300.0,Banashankari,Kumaraswamy Layout,Bangalore
Cafe Zuppa,Cafe,"Cafe, Pizza, Fast Food",2.8,450.0,Bannerghatta Road,JP Nagar,Bangalore
Caf-Eleven,Cafe,"Cafe, Continental",4.0,450.0,Banashankari,Banashankari,Bangalore
Cafemoto,Cafe,"Cafe, Continental, Italian, Burger",4.0,800.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Caferia,Quick Bites,"Fast Food, Street Food",3.3,200.0,Church Street,Frazer Town,Bangalore
Cafesta,Cafe,"Cafe, Italian, Fast Food, Desserts",4.3,550.0,Brookefield,Whitefield,Bangalore
Cafeteria Al - Falah,Quick Bites,"Fast Food, North Indian",3.3,300.0,Kalyan Nagar,Banaswadi,Bangalore
Cafezone,Quick Bites,"Burger, Fast Food, Beverages",3.7,250.0,Kalyan Nagar,Banaswadi,Bangalore
Caffe Maven,Quick Bites,"Chinese, North Indian",3.4,300.0,Brigade Road,Residency Road,Bangalore
Caffe Pascucci,Cafe,"Cafe, Continental, Pizza, Italian, Beverages",4.1,950.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Cake 24x7,Bakery,"Bakery, Desserts",3.2,450.0,Brookefield,Whitefield,Bangalore
Cake Art,"Bakery, Quick Bites",Bakery,2.9,400.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Cake Box,Bakery,"Bakery, Desserts",2.9,400.0,Bellandur,Marathahalli,Bangalore
Cake Cafe,Bakery,"Bakery, Desserts",4.0,300.0,HSR,HSR,Bangalore
Cake Chemistry,Bakery,"Bakery, Desserts",2.8,500.0,Basavanagudi,Jayanagar,Bangalore
Cake Delights,Bakery,"Bakery, Desserts",3.6,500.0,Bellandur,Sarjapur Road,Bangalore
Cake Dilim,Bakery,Bakery,2.8,500.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Cake Gallery,Bakery,Bakery,3.6,300.0,Malleshwaram,Yeshwantpur,Bangalore
Cake Genie,Dessert Parlor,"Desserts, Fast Food",3.9,300.0,Indiranagar,Indiranagar,Bangalore
Cake Ghar,Bakery,Bakery,3.8,400.0,Banashankari,Basavanagudi,Bangalore
Cake House - Story Cafe,Quick Bites,"Bakery, Desserts",3.8,650.0,Kammanahalli,Kalyan Nagar,Bangalore
Cake Menu,Bakery,Bakery,3.2,400.0,HSR,Bommanahalli,Bangalore
Cake Of Day,Bakery,Bakery,2.8,150.0,Basavanagudi,Basavanagudi,Bangalore
Cake of the Day,Bakery,Bakery,3.2,150.0,Basavanagudi,Basavanagudi,Bangalore
Cake Palace,Dessert Parlor,Bakery,3.4,100.0,Indiranagar,Indiranagar,Bangalore
Cake Town Cafe,"Bakery, Dessert Parlor","Bakery, Desserts",3.9,500.0,Bellandur,Bellandur,Bangalore
Cake Yard,Dessert Parlor,Desserts,2.9,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Cakea,Delivery,Bakery,2.8,300.0,Electronic City,Electronic City,Bangalore
CakeBerries,Bakery,"Bakery, Desserts",3.7,200.0,Old Airport Road,Old Airport Road,Bangalore
CakeBox,Bakery,"Bakery, Desserts",3.5,400.0,HSR,HSR,Bangalore
Cakebuy,Dessert Parlor,Desserts,3.9,350.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cake-O-Mania,"Takeaway, Delivery","Bakery, Desserts",3.4,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cakeport,Bakery,Bakery,3.4,400.0,Jayanagar,Jayanagar,Bangalore
Cakes & Candles,"Bakery, Dessert Parlor","Bakery, Desserts",3.1,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Cakes & Slices,Bakery,"Bakery, Desserts",3.5,300.0,Banashankari,Banashankari,Bangalore
Cakes And Crumbs,Dessert Parlor,Bakery,3.4,350.0,Bannerghatta Road,JP Nagar,Bangalore
Cakes and Moulds,Bakery,"Bakery, Desserts",3.6,300.0,Koramangala 4th Block,Koramangala 1st Block,Bangalore
Cakes By M,Delivery,Bakery,3.4,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cakes Wagon,Bakery,"Bakery, Desserts",3.3,600.0,Electronic City,Electronic City,Bangalore
"Cakes, Crumbs & Magic",Bakery,Bakery,3.3,300.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Cakesta,Bakery,"Bakery, Desserts",4.1,500.0,Brookefield,"ITPL Main Road, Whitefield",Bangalore
Cakewala,Bakery,"Bakery, Desserts",4.1,500.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
CakeWalk,Dessert Parlor,"Desserts, Bakery",4.1,500.0,Indiranagar,Indiranagar,Bangalore
CakeZone,Bakery,"Bakery, Desserts",3.2,500.0,Electronic City,Electronic City,Bangalore
Calcutta Cafe,Quick Bites,"Bengali, Chinese, Sandwich",3.5,350.0,Banashankari,Kumaraswamy Layout,Bangalore
Calcutta Chats,Quick Bites,"Street Food, North Indian",3.5,200.0,Church Street,Vasanth Nagar,Bangalore
Calcutta North Indian Meals,Quick Bites,North Indian,3.2,200.0,Whitefield,Whitefield,Bangalore
Calcutta Victoria Chat House,Quick Bites,"Fast Food, Street Food",2.8,200.0,Kammanahalli,Banaswadi,Bangalore
Calicut Durbar,Quick Bites,"Arabian, North Indian",3.8,500.0,Koramangala 5th Block,Koramangala 7th Block,Bangalore
Calicut Mess House,Mess,Kerala,3.2,250.0,Whitefield,Whitefield,Bangalore
Calicut Restaurant,Casual Dining,"Kerala, South Indian, North Indian, Chinese",3.9,450.0,Malleshwaram,Yeshwantpur,Bangalore
California Burrito,Food Court,"Mexican, Fast Food",3.3,400.0,Jayanagar,JP Nagar,Bangalore
Call A Cake,Delivery,Bakery,3.6,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Calorie Express,Delivery,Healthy Food,3.6,450.0,Bannerghatta Road,BTM,Bangalore
Calvin's,Dessert Parlor,"Desserts, Italian, Pizza",2.9,800.0,Bannerghatta Road,JP Nagar,Bangalore
CAMP TANDOOR,Quick Bites,North Indian,3.7,300.0,Church Street,Ulsoor,Bangalore
Campus Juice Corner,Quick Bites,"Fast Food, Juices",3.3,100.0,JP Nagar,Kumaraswamy Layout,Bangalore
Candy Cake,Bakery,Bakery,3.4,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cane Crussh,Beverage Shop,Juices,2.8,100.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cane Recipes,Quick Bites,Juices,3.5,100.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cane-O-La,Quick Bites,Juices,3.8,100.0,Banashankari,Basavanagudi,Bangalore
Canopus Multicuisine Restaurant,Casual Dining,"North Indian, Seafood, Biryani, Chinese",2.8,800.0,Bellandur,Marathahalli,Bangalore
Canopy,Casual Dining,"North Indian, Continental, Chinese",3.0,800.0,Brigade Road,MG Road,Bangalore
Canopy Flavours,Cafe,"Cafe, Fast Food",2.6,450.0,HSR,HSR,Bangalore
Canton,Casual Dining,"Chinese, Seafood, Biryani",3.4,800.0,Jayanagar,Jayanagar,Bangalore
Caperberry,Fine Dining,"Spanish, Italian, Mediterranean, European, Salad",4.6,2200.0,Brigade Road,Lavelle Road,Bangalore
Caprese - Shangri-La Hotel,Fine Dining,Italian,4.2,3000.0,Lavelle Road,Vasanth Nagar,Bangalore
Capri Gastrobar,"Bar, Casual Dining","Mediterranean, Italian, Asian",4.3,1200.0,Brigade Road,St. Marks Road,Bangalore
Capsicum Family Restaurant,Casual Dining,"Biryani, North Indian",3.8,800.0,Bannerghatta Road,BTM,Bangalore
Captain Egg,Food Court,Fast Food,4.1,400.0,Whitefield,Whitefield,Bangalore
Caramel Shake,Beverage Shop,"Beverages, Juices, Ice Cream",2.8,200.0,Basavanagudi,BTM,Bangalore
Caramel Whitefield,"Dessert Parlor, Quick Bites","Desserts, Bakery",3.7,1000.0,Whitefield,Whitefield,Bangalore
Caraway Kitchen - Conrad Bengaluru,Fine Dining,"American, Continental, North Indian, South Indian",4.3,2800.0,Indiranagar,Ulsoor,Bangalore
Carbon Cup,Quick Bites,"North Indian, Arabian, Fast Food, Chinese",3.5,400.0,Malleshwaram,New BEL Road,Bangalore
Cardamom Pods,Quick Bites,"North Indian, Chinese",2.8,450.0,Marathahalli,Marathahalli,Bangalore
Cariocake,Bakery,"Bakery, Desserts",3.9,350.0,Jayanagar,JP Nagar,Bangalore
Carlos Cake Cafe,Bakery,"Bakery, Desserts",3.3,300.0,Brookefield,Marathahalli,Bangalore
Carnatic,Casual Dining,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",4.1,1000.0,Residency Road,Church Street,Bangalore
Carnival Cakes & Breads,"Bakery, Quick Bites","Bakery, Fast Food",3.5,200.0,HSR,HSR,Bangalore
Carnival de Goa,"Casual Dining, Bar","Goan, Mangalorean, Pizza",4.2,1000.0,Brigade Road,Ulsoor,Bangalore
Carrots,Casual Dining,"Italian, North Indian, Healthy Food, Desserts",4.1,1100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Casa De Goa,"Casual Dining, Pub","Goan, Mangalorean",4.2,1400.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Casa Express,Quick Bites,"Chinese, Italian",2.6,400.0,Brigade Road,Residency Road,Bangalore
Casa Piccosa,"Casual Dining, Bar","South American, Continental, Italian",4.1,1100.0,Bannerghatta Road,JP Nagar,Bangalore
Casamia,Quick Bites,"Andhra, Kerala, South Indian",3.6,400.0,Malleshwaram,Yeshwantpur,Bangalore
Cashmere Nites,Casual Dining,Kashmiri,3.5,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Casino Hotel,Casual Dining,"North Indian, Chinese",3.9,500.0,Malleshwaram,New BEL Road,Bangalore
Castle Rock,Casual Dining,"North Indian, Chinese",3.6,700.0,Banashankari,Uttarahalli,Bangalore
Catch-up-ino,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,Banashankari,Banashankari,Bangalore
Cauvery Fast Food,Quick Bites,Chinese,3.2,150.0,Koramangala 4th Block,Ejipura,Bangalore
Cauvery Hyderabadi Biriyani,Casual Dining,"North Indian, Chinese",3.8,600.0,Bellandur,Marathahalli,Bangalore
Cauvery Punjabi Khana,Quick Bites,"North Indian, South Indian",3.4,300.0,Rajajinagar,Majestic,Bangalore
Cave N Dine,"Casual Dining, Bar","North Indian, Chinese, Seafood",3.1,800.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Cedar Bar & Dive - Hotel Presidency,Bar,"North Indian, Thai, Chinese, Continental",3.8,1200.0,Electronic City,Electronic City,Bangalore
Celebrations 365,Dessert Parlor,"Desserts, Ice Cream",3.3,350.0,Brookefield,Brookefield,Bangalore
Celeste's Kitchen,Delivery,"Chinese, Fast Food, North Indian",3.3,400.0,Indiranagar,Domlur,Bangalore
Central Cafe,"Beverage Shop, Quick Bites","Beverages, Fast Food",3.2,300.0,Marathahalli,Marathahalli,Bangalore
Central Jail Restaurant,Casual Dining,"Andhra, Seafood, North Indian, Chinese",3.7,700.0,Jayanagar,Jayanagar,Bangalore
CHAAI BEE,"Beverage Shop, Quick Bites","Beverages, Fast Food, Street Food",3.5,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Chaai Resto,Beverage Shop,Beverages,2.7,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Chaarcoal,Casual Dining,North Indian,4.0,1200.0,Bellandur,Bellandur,Bangalore
Chaat Bazaar,Quick Bites,Street Food,3.7,300.0,Brookefield,Whitefield,Bangalore
Chaat Central,Food Court,"Street Food, North Indian",3.3,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Chaat Chatore,Quick Bites,Fast Food,3.1,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Chaat Express,Quick Bites,"Fast Food, North Indian",3.4,200.0,Sarjapur Road,HSR,Bangalore
Chaat Junction,Quick Bites,"Street Food, North Indian, Fast Food",3.6,200.0,Brookefield,Whitefield,Bangalore
Chaat Lounge,"Food Court, Quick Bites","North Indian, Street Food",3.0,300.0,Malleshwaram,Yeshwantpur,Bangalore
Chaat Street,Kiosk,"Street Food, North Indian",3.9,250.0,Koramangala 5th Block,Koramangala 6th Block,Bangalore
Chaat Trail By Moti Mahal,Quick Bites,"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",3.9,300.0,HSR,HSR,Bangalore
Chaatimes,Quick Bites,"Street Food, Fast Food",3.4,200.0,Bannerghatta Road,Bannerghatta Road,Bangalore
CHAATter Box,Quick Bites,"South Indian, Chinese, North Indian",3.4,250.0,JP Nagar,Kumaraswamy Layout,Bangalore
Chaavadi,Casual Dining,"North Indian, Biryani, Seafood, Chinese, Mangalorean",3.7,750.0,Indiranagar,Indiranagar,Bangalore
Cha-Cha Cha-Chi,Quick Bites,"Fast Food, Beverages",3.3,100.0,HSR,HSR,Bangalore
Chacha Ka Dhaba,Quick Bites,"North Indian, Chinese",2.8,400.0,Brookefield,Whitefield,Bangalore
Chackochi Mess,Mess,"Kerala, South Indian",3.3,250.0,HSR,Bommanahalli,Bangalore
Chai & Kadi,Quick Bites,South Indian,3.8,200.0,Indiranagar,Indiranagar,Bangalore
Chai Cafe,Cafe,Cafe,3.9,200.0,Indiranagar,Indiranagar,Bangalore
Chai Central,"Quick Bites, Beverage Shop","Tea, Fast Food",3.2,200.0,Frazer Town,RT Nagar,Bangalore
Chai Chowk,Quick Bites,"Chinese, Fast Food",3.8,200.0,Koramangala 6th Block,Koramangala 7th Block,Bangalore
Chai Culture,Beverage Shop,Beverages,3.6,200.0,Basavanagudi,Jayanagar,Bangalore
Chai Darbaar,Quick Bites,"North Indian, Chinese, Fast Food",3.1,300.0,Marathahalli,Marathahalli,Bangalore
Chai Days,Cafe,"Cafe, Tea, Beverages, Fast Food",4.4,200.0,Indiranagar,Indiranagar,Bangalore
Chai Galli,Cafe,"Cafe, Street Food",4.1,300.0,Marathahalli,Brookefield,Bangalore
Chai Ki Tapri,Cafe,Cafe,3.7,250.0,Brigade Road,MG Road,Bangalore
Chai Kraft,Beverage Shop,"Beverages, Tea",4.1,100.0,Banashankari,Jayanagar,Bangalore
Chai Makhani,Beverage Shop,"Beverages, Tea",3.5,100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Chai Mane,"Beverage Shop, Quick Bites","Beverages, Sandwich",3.2,100.0,Basavanagudi,Basavanagudi,Bangalore
Chai Mania,Cafe,"Cafe, Tea, Beverages",2.8,300.0,Brookefield,Marathahalli,Bangalore
Chai Masthi,Quick Bites,"Fast Food, Lebanese",3.4,200.0,Indiranagar,Domlur,Bangalore
Chai Point,Beverage Shop,"Fast Food, Beverages",3.8,250.0,Marathahalli,Marathahalli,Bangalore
Chai Resto,Quick Bites,"Fast Food, Tea",3.3,200.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Chai Street,Beverage Shop,Beverages,3.2,150.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Chai World,Quick Bites,"Tea, Beverages, Sandwich, Fast Food",3.5,300.0,Bellandur,Sarjapur Road,Bangalore
Chaitanya Cafe,Quick Bites,"South Indian, North Indian, Fast Food",3.9,300.0,Bannerghatta Road,JP Nagar,Bangalore
Chaitanya Grand,Quick Bites,"South Indian, North Indian, Chinese",3.6,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Chaitanya Veg,Quick Bites,South Indian,3.2,300.0,Brigade Road,Shivajinagar,Bangalore
Chaithanya Andhra Style Family Restaurant,Casual Dining,"Andhra, North Indian, Chinese",3.2,600.0,Brigade Road,Cunningham Road,Bangalore
Chaithanya Delicacy,Casual Dining,"North Indian, South Indian, Chinese",3.7,550.0,Brigade Road,Richmond Road,Bangalore
Chaithanya Veg,Quick Bites,"South Indian, North Indian, Chinese",3.7,200.0,Indiranagar,Indiranagar,Bangalore
Chaithanya Xpress,Quick Bites,"South Indian, North Indian",3.6,300.0,Indiranagar,Indiranagar,Bangalore
Chaitra Restaurant,Quick Bites,"North Indian, Chinese",3.7,700.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Chaiwala,Quick Bites,Fast Food,3.1,100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Chaiywaala Da Dhaba,Cafe,"Cafe, Tea",3.7,250.0,New BEL Road,New BEL Road,Bangalore
Chakh Le Foods,Casual Dining,"North Indian, Mughlai, Bengali, Chinese",3.4,500.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Chakh Le India,Quick Bites,"North Indian, Chinese, Rolls",3.1,300.0,Brookefield,Marathahalli,Bangalore
